District,Pincode,Month,Avg_Min_Temp_C,Avg_Max_Temp_C,Avg_Rainfall_mm,Avg_Humidity_Percent,Avg_Sunlight_Hours,Year_Recorded
AJMER,305206,8,23.8,44.8,190.5,79.8,7.7,2024
AJMER,305206,9,11.3,38.4,158.5,36.7,10.8,2024
AJMER,305206,10,12.9,34.3,29.8,58.9,10.4,2024
AJMER,305206,11,10.7,37.3,196.3,78.0,7.4,2024
AJMER,305206,12,14.9,30.5,147.4,81.1,7.9,2024
AJMER,305801,1,15.8,30.5,94.5,40.1,10.7,2024
AJMER,305801,2,14.1,27.3,122.3,27.3,8.1,2024
AJMER,305801,3,22.4,27.3,21.3,36.3,8.4,2024
AJMER,305801,4,15.4,32.0,112.1,86.2,8.2,2024
AJMER,305801,5,14.2,40.3,14.7,52.4,7.0,2024
AJMER,305801,6,18.1,37.2,109.0,49.3,8.0,2024
AJMER,305801,7,12.1,27.1,110.5,20.9,10.8,2024
AJMER,305801,8,22.0,42.0,174.9,23.6,8.9,2024
AJMER,305801,9,11.1,37.0,145.0,66.8,8.7,2024
AJMER,305801,10,24.8,44.2,49.9,61.3,6.9,2024
AJMER,305801,11,21.6,38.4,177.7,60.3,7.1,2024
AJMER,305801,12,13.0,28.5,114.6,27.7,6.3,2024
AJMER,305813,1,10.1,34.5,121.3,44.6,6.1,2024
AJMER,305813,2,22.2,38.0,33.8,76.9,8.9,2024
AJMER,305813,3,20.6,25.6,171.6,32.2,8.5,2024
AJMER,305813,4,20.9,25.3,186.2,81.8,7.7,2024
AJMER,305813,5,21.6,27.6,155.0,28.5,11.9,2024
AJMER,305813,6,11.1,30.0,188.2,31.8,8.4,2024
AJMER,305813,7,15.4,33.6,60.5,53.4,10.7,2024
AJMER,305813,8,11.7,34.7,172.2,86.2,7.3,2024
AJMER,305813,9,22.9,27.8,97.8,43.1,7.5,2024
AJMER,305813,10,19.3,38.5,32.8,66.1,9.4,2024
AJMER,305813,11,15.0,36.9,133.8,61.2,6.0,2024
AJMER,305813,12,11.0,30.9,136.8,30.5,6.1,2024
AJMER,305802,1,14.7,25.3,57.4,37.4,6.9,2024
AJMER,305802,2,14.9,26.6,5.5,85.1,7.3,2024
AJMER,305802,3,20.9,32.8,40.0,32.9,9.2,2024
AJMER,305802,4,19.6,28.1,80.0,68.7,10.1,2024
AJMER,305802,5,23.3,32.5,33.5,87.5,7.9,2024
AJMER,305802,6,17.1,37.6,38.8,28.4,7.4,2024
AJMER,305802,7,11.8,35.9,78.3,47.9,10.9,2024
AJMER,305802,8,20.7,29.6,192.4,35.7,7.0,2024
AJMER,305802,9,21.4,31.9,152.8,35.5,10.1,2024
AJMER,305802,10,18.4,37.3,63.9,28.3,11.6,2024
AJMER,305802,11,21.6,42.2,190.3,65.5,7.4,2024
AJMER,305802,12,17.4,40.1,129.1,72.2,6.5,2024
AJMER,305811,1,17.8,36.1,91.1,67.4,11.9,2024
AJMER,305811,2,16.4,32.2,93.7,84.7,7.6,2024
AJMER,305811,3,10.4,32.3,82.1,30.2,7.7,2024
AJMER,305811,4,11.6,42.6,46.6,42.4,8.9,2024
AJMER,305811,5,10.5,25.8,77.3,44.1,7.4,2024
AJMER,305811,6,19.5,44.8,105.6,36.2,12.0,2024
AJMER,305811,7,14.7,38.3,105.6,30.0,6.3,2024
AJMER,305811,8,17.6,38.6,152.3,54.1,8.7,2024
AJMER,305811,9,23.6,25.8,71.8,78.4,9.3,2024
AJMER,305811,10,13.7,37.1,143.4,86.8,8.8,2024
AJMER,305811,11,16.2,34.7,115.6,29.1,9.1,2024
AJMER,305811,12,21.3,27.1,192.4,77.6,11.9,2024
AJMER,305814,1,13.4,30.6,77.1,77.7,11.3,2024
AJMER,305814,2,11.2,42.8,180.2,47.2,7.9,2024
AJMER,305814,3,14.3,36.0,164.1,27.7,9.3,2024
AJMER,305814,4,12.4,33.3,127.5,89.3,6.0,2024
AJMER,305814,5,23.9,26.5,130.9,65.9,8.5,2024
AJMER,305814,6,22.1,39.3,16.9,88.8,7.0,2024
AJMER,305814,7,19.5,39.1,190.0,53.9,10.3,2024
AJMER,305814,8,23.1,37.3,21.4,47.7,7.3,2024
AJMER,305814,9,22.1,35.2,112.6,37.3,10.5,2024
AJMER,305814,10,12.8,33.7,66.0,88.9,7.9,2024
AJMER,305814,11,23.4,36.9,86.0,37.7,11.6,2024
AJMER,305814,12,18.1,29.7,122.0,21.7,8.7,2024
AJMER,305815,1,22.1,43.8,181.8,55.9,11.0,2024
AJMER,305815,2,23.4,36.8,91.5,46.4,9.8,2024
AJMER,305815,3,14.8,31.2,197.5,38.3,11.9,2024
AJMER,305815,4,11.7,34.0,118.6,64.4,10.5,2024
AJMER,305815,5,13.4,41.1,32.1,45.5,10.4,2024
AJMER,305815,6,16.4,28.2,38.0,48.2,7.6,2024
AJMER,305815,7,22.3,30.9,143.2,21.6,9.0,2024
AJMER,305815,8,22.9,38.6,10.1,61.2,7.7,2024
AJMER,305815,9,10.1,31.3,96.1,28.5,6.1,2024
AJMER,305815,10,17.7,40.9,29.6,35.0,10.3,2024
AJMER,305815,11,16.3,27.6,86.6,70.2,7.4,2024
AJMER,305815,12,13.3,40.3,150.0,41.9,8.4,2024
AJMER,305025,1,11.8,26.4,91.8,31.4,7.7,2024
AJMER,305025,2,15.1,25.3,32.7,60.4,7.2,2024
AJMER,305025,3,24.1,43.0,50.4,35.0,6.4,2024
AJMER,305025,4,14.8,36.6,73.5,39.0,8.0,2024
AJMER,305025,5,17.8,32.0,13.9,63.5,6.5,2024
AJMER,305025,6,20.5,29.7,116.9,71.8,9.2,2024
AJMER,305025,7,15.5,37.3,121.5,71.8,6.1,2024
AJMER,305025,8,24.6,35.2,12.4,53.8,11.6,2024
AJMER,305025,9,24.4,44.8,80.5,51.8,11.8,2024
AJMER,305025,10,13.8,44.7,82.8,75.1,7.8,2024
AJMER,305025,11,17.5,37.7,66.8,33.5,7.6,2024
AJMER,305025,12,14.5,33.9,111.5,30.7,6.6,2024
AJMER,305901,1,14.3,34.8,69.2,66.5,11.4,2024
AJMER,305901,2,10.6,38.6,83.3,48.7,9.5,2024
AJMER,305901,3,19.1,27.0,159.5,69.7,9.7,2024
AJMER,305901,4,17.5,31.6,32.4,38.0,11.4,2024
AJMER,305901,5,10.8,26.5,123.8,42.7,11.5,2024
AJMER,305901,6,14.2,26.5,101.1,82.8,11.0,2024
AJMER,305901,7,23.6,28.9,61.0,49.5,10.6,2024
AJMER,305901,8,13.6,34.7,145.5,61.4,11.3,2024
AJMER,305901,9,12.2,40.7,110.2,27.5,11.3,2024
AJMER,305901,10,17.3,34.7,95.5,32.5,8.2,2024
AJMER,305901,11,24.8,31.7,133.5,22.5,11.8,2024
AJMER,305901,12,13.6,26.6,160.5,49.7,10.3,2024
AJMER,305631,1,20.1,36.0,194.5,89.2,8.2,2024
AJMER,305631,2,21.4,30.4,125.9,81.2,8.7,2024
AJMER,305631,3,13.6,37.3,174.9,64.3,10.1,2024
AJMER,305631,4,20.9,44.5,0.2,80.3,8.2,2024
AJMER,305631,5,15.5,27.2,106.0,61.6,11.0,2024
AJMER,305631,6,19.5,29.2,42.9,45.8,6.9,2024
AJMER,305631,7,19.5,34.5,18.8,32.1,11.4,2024
AJMER,305631,8,18.0,44.4,106.4,65.7,7.8,2024
AJMER,305631,9,11.4,40.4,149.4,33.5,6.9,2024
AJMER,305631,10,22.5,43.0,82.5,49.2,11.1,2024
AJMER,305631,11,14.8,31.7,134.0,77.8,7.4,2024
AJMER,305631,12,12.8,44.8,97.9,29.0,11.1,2024
AJMER,305621,1,10.6,27.1,87.4,29.0,7.8,2024
AJMER,305621,2,18.9,26.1,58.1,35.7,11.6,2024
AJMER,305621,3,20.2,42.1,76.5,58.6,7.3,2024
AJMER,305621,4,10.2,43.5,70.0,37.6,6.4,2024
AJMER,305621,5,17.7,26.8,129.2,55.2,11.6,2024
AJMER,305621,6,13.4,27.3,23.2,41.1,7.0,2024
AJMER,305621,7,19.7,25.7,18.5,55.4,11.7,2024
AJMER,305621,8,12.6,27.1,132.0,39.4,10.9,2024
AJMER,305621,9,20.4,29.2,109.3,88.6,6.5,2024
AJMER,305621,10,15.8,44.4,86.0,54.5,8.7,2024
AJMER,305621,11,24.1,38.4,30.5,72.1,6.4,2024
AJMER,305621,12,12.1,40.6,82.2,69.0,8.0,2024
AJMER,305926,1,15.1,40.5,157.9,54.3,8.1,2024
AJMER,305926,2,11.7,35.7,177.9,36.7,9.6,2024
AJMER,305926,3,23.9,40.9,140.5,55.8,11.9,2024
AJMER,305926,4,23.2,36.9,12.0,67.7,7.0,2024
AJMER,305926,5,13.9,31.3,134.1,52.2,8.0,2024
AJMER,305926,6,19.9,36.2,48.2,25.7,9.5,2024
AJMER,305926,7,22.3,35.7,63.1,21.3,7.0,2024
AJMER,305926,8,18.3,41.5,39.2,43.0,10.3,2024
AJMER,305926,9,17.9,44.6,155.2,30.5,8.4,2024
AJMER,305926,10,13.6,33.2,129.7,83.4,11.7,2024
AJMER,305926,11,11.4,40.3,122.4,32.3,9.8,2024
AJMER,305926,12,23.5,27.0,133.6,47.6,8.2,2024
AJMER,305622,1,23.5,40.5,47.4,69.8,10.3,2024
AJMER,305622,2,19.5,32.4,88.9,77.1,11.0,2024
AJMER,305622,3,15.1,25.8,126.7,53.4,10.8,2024
AJMER,305622,4,15.2,32.3,127.3,32.7,7.6,2024
AJMER,305622,5,20.9,37.2,158.4,39.0,8.5,2024
AJMER,305622,6,23.5,27.4,57.4,49.3,8.7,2024
AJMER,305622,7,23.3,43.5,154.1,45.5,8.3,2024
AJMER,305622,8,21.7,26.6,88.0,44.4,7.9,2024
AJMER,305622,9,19.6,43.6,134.0,29.2,10.5,2024
AJMER,305622,10,11.3,39.1,91.1,83.9,6.1,2024
AJMER,305622,11,12.4,31.6,189.7,22.1,7.8,2024
AJMER,305622,12,23.5,32.8,35.9,50.8,6.8,2024
AJMER,305624,1,19.1,39.8,135.0,88.6,6.8,2024
AJMER,305624,2,10.1,37.0,115.3,66.2,7.7,2024
AJMER,305624,3,11.5,38.4,34.5,44.9,10.6,2024
AJMER,305624,4,20.0,32.8,13.2,30.2,11.8,2024
AJMER,305624,5,10.1,34.8,159.8,87.5,9.1,2024
AJMER,305624,6,12.4,44.8,31.5,21.0,8.0,2024
AJMER,305624,7,18.2,29.3,37.3,67.7,11.0,2024
AJMER,305624,8,20.4,33.4,195.7,81.6,6.4,2024
AJMER,305624,9,19.8,30.8,143.5,21.8,6.6,2024
AJMER,305624,10,13.4,40.3,50.1,70.8,8.1,2024
AJMER,305624,11,20.7,40.3,118.2,89.9,8.7,2024
AJMER,305624,12,13.6,30.8,106.8,64.8,10.8,2024
AJMER,305625,1,14.9,26.6,168.9,49.0,11.6,2024
AJMER,305625,2,21.2,25.2,145.9,81.2,9.2,2024
AJMER,305625,3,19.7,33.5,166.3,58.8,9.0,2024
AJMER,305625,4,22.7,33.2,42.3,72.5,7.3,2024
AJMER,305625,5,19.9,44.8,128.0,61.1,8.7,2024
AJMER,305625,6,18.5,34.4,8.0,22.7,11.5,2024
AJMER,305625,7,11.4,30.1,13.8,34.9,8.4,2024
AJMER,305625,8,15.5,42.8,142.7,25.5,7.3,2024
AJMER,305625,9,14.0,34.8,4.9,27.5,8.0,2024
AJMER,305625,10,13.7,37.0,116.0,21.1,9.1,2024
AJMER,305625,11,24.6,26.9,168.1,49.5,9.6,2024
AJMER,305625,12,15.9,32.7,76.0,32.5,8.6,2024
AJMER,305630,1,23.4,43.9,9.0,79.9,10.6,2024
AJMER,305630,2,19.5,36.8,142.8,72.5,9.5,2024
AJMER,305630,3,21.9,31.9,185.9,60.1,10.0,2024
AJMER,305630,4,17.5,37.5,143.4,54.2,11.2,2024
AJMER,305630,5,18.7,43.2,115.7,37.9,11.2,2024
AJMER,305630,6,17.4,30.5,46.0,53.2,7.2,2024
AJMER,305630,7,12.9,35.1,3.1,64.9,9.7,2024
AJMER,305630,8,20.8,44.2,138.9,74.8,10.3,2024
AJMER,305630,9,14.2,28.4,46.2,25.7,6.9,2024
AJMER,305630,10,10.4,39.4,171.6,69.6,11.1,2024
AJMER,305630,11,19.7,37.3,93.3,72.0,7.1,2024
AJMER,305630,12,12.7,38.6,106.1,59.1,10.8,2024
AJMER,305927,1,24.1,32.0,150.8,35.0,7.0,2024
AJMER,305927,2,24.3,31.3,155.9,57.7,10.5,2024
AJMER,305927,3,23.7,38.7,128.5,55.2,6.9,2024
AJMER,305927,4,15.6,29.3,187.7,53.3,8.3,2024
AJMER,305927,5,10.2,33.4,196.5,52.2,6.9,2024
AJMER,305927,6,23.9,28.8,189.4,27.8,7.6,2024
AJMER,305927,7,16.4,25.2,164.8,32.8,11.9,2024
AJMER,305927,8,24.5,44.4,141.1,26.8,6.6,2024
AJMER,305927,9,24.5,33.6,132.7,37.0,8.4,2024
AJMER,305927,10,22.8,44.4,20.8,38.4,10.1,2024
AJMER,305927,11,14.4,27.8,54.3,37.2,6.6,2024
AJMER,305927,12,15.8,36.7,1.1,34.8,6.7,2024
AJMER,305202,1,22.8,29.0,27.5,71.5,6.9,2024
AJMER,305202,2,14.8,40.8,87.8,77.3,9.9,2024
AJMER,305202,3,12.5,40.7,29.3,42.9,11.5,2024
AJMER,305202,4,18.4,27.3,180.3,41.4,11.0,2024
AJMER,305202,5,24.0,43.2,161.1,79.1,11.9,2024
AJMER,305202,6,20.4,28.9,14.3,63.7,9.5,2024
AJMER,305202,7,18.6,37.3,49.8,40.5,11.8,2024
AJMER,305202,8,11.5,44.7,163.8,70.0,7.8,2024
AJMER,305202,9,19.2,42.6,160.6,44.1,8.5,2024
AJMER,305202,10,24.9,44.1,189.1,61.1,8.4,2024
AJMER,305202,11,12.1,31.9,199.5,89.5,6.3,2024
AJMER,305202,12,17.8,27.1,195.3,41.1,11.0,2024
AJMER,305923,1,23.2,28.8,82.0,85.1,6.1,2024
AJMER,305923,2,21.1,35.0,50.1,42.4,10.4,2024
AJMER,305923,3,20.5,40.9,151.7,57.8,8.4,2024
AJMER,305923,4,20.5,28.0,59.9,52.2,6.0,2024
AJMER,305923,5,15.4,38.2,161.3,74.8,7.7,2024
AJMER,305923,6,14.4,31.5,106.8,24.3,8.1,2024
AJMER,305923,7,22.1,31.8,158.8,63.9,11.8,2024
AJMER,305923,8,22.2,38.2,55.2,73.2,10.0,2024
AJMER,305923,9,23.0,34.3,101.6,53.1,9.3,2024
AJMER,305923,10,23.7,41.2,112.8,27.4,6.8,2024
AJMER,305923,11,17.7,28.1,188.6,37.1,8.3,2024
AJMER,305923,12,17.5,40.8,53.3,67.6,6.2,2024
AJMER,305623,1,22.0,26.3,187.3,82.7,10.6,2024
AJMER,305623,2,19.7,28.9,161.0,49.5,7.0,2024
AJMER,305623,3,20.5,38.1,146.2,59.2,9.6,2024
AJMER,305623,4,21.9,42.1,157.4,36.0,10.2,2024
AJMER,305623,5,23.4,30.1,121.1,48.9,8.2,2024
AJMER,305623,6,15.1,31.5,48.8,43.6,9.8,2024
AJMER,305623,7,15.6,35.7,37.9,65.9,10.6,2024
AJMER,305623,8,11.4,29.2,173.3,88.9,7.1,2024
AJMER,305623,9,18.7,41.2,145.0,76.9,9.6,2024
AJMER,305623,10,10.5,40.5,42.6,33.5,10.4,2024
AJMER,305623,11,17.0,27.9,123.0,60.4,8.1,2024
AJMER,305623,12,18.1,34.3,89.5,24.6,7.0,2024
AJMER,305204,1,14.3,40.5,31.7,37.3,7.7,2024
AJMER,305204,2,18.9,31.7,106.4,32.1,11.6,2024
AJMER,305204,3,10.5,37.7,56.3,43.5,8.1,2024
AJMER,305204,4,10.6,26.0,19.2,67.5,6.6,2024
AJMER,305204,5,22.3,37.2,93.4,55.0,6.5,2024
AJMER,305204,6,15.4,28.1,118.0,85.3,7.1,2024
AJMER,305204,7,11.9,41.6,9.4,34.9,6.8,2024
AJMER,305204,8,17.8,32.1,80.4,45.5,9.0,2024
AJMER,305204,9,21.5,30.6,51.5,43.1,8.1,2024
AJMER,305204,10,13.2,41.8,6.1,36.5,11.0,2024
AJMER,305204,11,19.3,26.0,25.1,89.5,11.3,2024
AJMER,305204,12,11.3,32.9,27.8,47.1,8.8,2024
AJMER,305925,1,10.8,32.4,36.6,85.8,11.3,2024
AJMER,305925,2,18.0,30.7,160.7,47.3,8.7,2024
AJMER,305925,3,18.1,43.2,87.9,34.3,9.9,2024
AJMER,305925,4,19.6,40.0,29.4,28.3,7.0,2024
AJMER,305925,5,20.9,26.3,20.1,79.9,6.3,2024
AJMER,305925,6,24.6,39.3,59.6,22.2,7.0,2024
AJMER,305925,7,17.7,35.5,159.6,87.5,7.5,2024
AJMER,305925,8,14.8,43.0,72.9,49.3,10.5,2024
AJMER,305925,9,21.9,31.3,32.0,37.3,7.0,2024
AJMER,305925,10,14.1,36.5,80.8,63.2,6.8,2024
AJMER,305925,11,16.6,35.0,111.1,29.3,11.6,2024
AJMER,305925,12,11.2,34.8,5.9,25.1,10.1,2024
AJMER,305402,1,10.4,34.1,125.5,77.9,8.8,2024
AJMER,305402,2,24.4,29.1,79.0,49.7,6.6,2024
AJMER,305402,3,22.5,40.1,1.9,56.3,11.1,2024
AJMER,305402,4,20.4,34.0,134.8,32.4,6.6,2024
AJMER,305402,5,16.1,44.2,142.5,24.3,9.7,2024
AJMER,305402,6,12.6,30.2,125.8,45.7,10.0,2024
AJMER,305402,7,12.3,38.7,68.4,55.4,8.4,2024
AJMER,305402,8,13.8,43.8,105.9,73.6,11.5,2024
AJMER,305402,9,18.2,38.3,77.4,55.1,6.3,2024
AJMER,305402,10,20.7,42.4,140.1,74.8,10.9,2024
AJMER,305402,11,19.9,41.5,116.7,28.1,9.3,2024
AJMER,305402,12,14.2,32.2,16.4,24.5,9.7,2024
AJMER,305601,1,24.3,37.0,128.6,31.1,11.9,2024
AJMER,305601,2,21.1,28.1,137.4,74.0,9.5,2024
AJMER,305601,3,18.3,35.7,74.1,73.2,10.8,2024
AJMER,305601,4,19.2,29.6,175.2,29.9,6.9,2024
AJMER,305601,5,16.3,39.9,168.6,22.2,10.9,2024
AJMER,305601,6,13.7,35.6,35.0,68.0,10.6,2024
AJMER,305601,7,15.3,33.2,180.9,79.9,11.8,2024
AJMER,305601,8,21.4,30.4,88.2,72.8,11.6,2024
AJMER,305601,9,10.2,45.0,144.7,34.2,7.3,2024
AJMER,305601,10,11.7,26.4,162.8,60.9,8.8,2024
AJMER,305601,11,10.7,25.9,101.0,73.0,11.5,2024
AJMER,305601,12,10.6,29.3,79.8,37.9,9.8,2024
AJMER,305408,1,22.8,44.4,183.1,56.9,8.8,2024
AJMER,305408,2,20.6,44.6,46.2,42.0,6.7,2024
AJMER,305408,3,17.1,38.1,51.4,35.8,8.1,2024
AJMER,305408,4,11.5,42.6,72.3,87.9,10.0,2024
AJMER,305408,5,17.4,29.3,171.9,83.9,10.7,2024
AJMER,305408,6,17.1,44.4,187.8,51.2,8.7,2024
AJMER,305408,7,12.6,27.9,44.0,29.6,6.3,2024
AJMER,305408,8,16.5,27.0,172.8,71.0,9.8,2024
AJMER,305408,9,16.0,27.2,51.6,37.9,11.5,2024
AJMER,305408,10,19.2,36.5,194.1,31.8,9.0,2024
AJMER,305408,11,19.5,40.6,119.5,46.7,11.6,2024
AJMER,305408,12,10.7,32.3,1.4,57.1,8.1,2024
AJMER,305629,1,15.6,44.6,6.8,26.8,11.3,2024
AJMER,305629,2,19.4,33.7,29.5,60.0,10.7,2024
AJMER,305629,3,17.5,28.0,37.5,21.1,11.8,2024
AJMER,305629,4,22.8,34.3,153.5,82.4,10.7,2024
AJMER,305629,5,19.9,38.6,44.6,84.5,7.9,2024
AJMER,305629,6,12.4,41.6,193.8,71.3,11.4,2024
AJMER,305629,7,11.1,34.2,127.2,52.7,10.0,2024
AJMER,305629,8,19.6,36.9,138.5,37.8,7.0,2024
AJMER,305629,9,10.4,30.3,43.6,72.1,6.3,2024
AJMER,305629,10,18.8,37.9,178.5,85.2,8.2,2024
AJMER,305629,11,24.1,44.7,133.6,31.1,10.7,2024
AJMER,305629,12,18.6,26.0,172.9,52.6,9.7,2024
AJMER,305412,1,15.8,42.7,191.3,42.1,9.2,2024
AJMER,305412,2,19.6,36.2,25.1,45.0,6.0,2024
AJMER,305412,3,16.9,30.0,19.3,48.4,8.6,2024
AJMER,305412,4,18.2,44.1,160.7,86.6,6.9,2024
AJMER,305412,5,24.1,34.7,173.2,38.1,8.7,2024
AJMER,305412,6,15.8,31.6,116.8,54.5,12.0,2024
AJMER,305412,7,24.4,28.6,73.2,86.6,11.3,2024
AJMER,305412,8,23.6,29.9,130.5,53.3,7.9,2024
AJMER,305412,9,12.9,41.7,61.1,80.5,9.6,2024
AJMER,305412,10,11.0,37.3,47.7,24.1,9.0,2024
AJMER,305412,11,11.5,43.3,97.6,86.7,6.8,2024
AJMER,305412,12,10.3,29.6,43.2,33.1,11.9,2024
AJMER,305406,1,11.4,27.4,96.7,88.6,8.6,2024
AJMER,305406,2,20.2,25.1,191.3,32.3,9.0,2024
AJMER,305406,3,11.1,35.2,168.0,51.1,9.9,2024
AJMER,305406,4,14.8,45.0,188.3,41.6,7.1,2024
AJMER,305406,5,22.7,38.9,161.3,50.3,7.3,2024
AJMER,305406,6,10.3,31.2,71.0,37.5,7.2,2024
AJMER,305406,7,22.2,42.5,162.4,87.6,8.3,2024
AJMER,305406,8,14.2,40.6,184.6,41.4,7.2,2024
AJMER,305406,9,11.8,25.3,189.4,65.7,11.6,2024
AJMER,305406,10,20.5,41.3,136.6,29.6,10.3,2024
AJMER,305406,11,19.4,31.0,42.3,77.7,11.4,2024
AJMER,305406,12,23.2,28.0,7.9,58.0,11.1,2024
AJMER,305405,1,21.0,29.5,29.4,88.6,10.2,2024
AJMER,305405,2,22.1,34.4,193.1,49.6,7.5,2024
AJMER,305405,3,14.2,33.5,92.4,33.7,9.7,2024
AJMER,305405,4,12.7,30.8,171.0,44.2,7.1,2024
AJMER,305405,5,21.3,28.4,93.0,71.6,6.8,2024
AJMER,305405,6,22.1,40.2,132.2,66.1,9.8,2024
AJMER,305405,7,24.9,44.8,4.8,74.5,9.7,2024
AJMER,305405,8,16.2,40.6,50.0,25.1,6.9,2024
AJMER,305405,9,15.6,30.9,87.3,60.6,8.1,2024
AJMER,305405,10,21.6,29.9,126.1,85.3,6.4,2024
AJMER,305405,11,15.1,29.4,34.3,27.6,10.3,2024
AJMER,305405,12,24.0,27.7,152.9,26.6,11.9,2024
AJMER,305404,1,22.9,36.0,72.9,70.2,10.4,2024
AJMER,305404,2,16.4,37.1,163.5,42.1,11.1,2024
AJMER,305404,3,21.3,39.1,19.6,66.1,8.9,2024
AJMER,305404,4,21.3,38.6,136.0,58.2,6.6,2024
AJMER,305404,5,11.5,30.8,58.7,89.0,10.4,2024
AJMER,305404,6,23.5,31.6,159.1,82.2,7.5,2024
AJMER,305404,7,17.6,38.6,80.4,67.5,8.3,2024
AJMER,305404,8,22.4,32.0,133.1,38.3,10.2,2024
AJMER,305404,9,14.8,29.3,186.9,38.3,11.4,2024
AJMER,305404,10,23.4,32.5,4.1,81.8,8.9,2024
AJMER,305404,11,15.8,30.4,2.2,61.0,11.8,2024
AJMER,305404,12,10.2,26.8,154.1,75.2,9.1,2024
AJMER,305628,1,23.6,41.6,129.3,51.5,6.7,2024
AJMER,305628,2,11.4,42.1,58.6,27.2,9.1,2024
AJMER,305628,3,14.8,29.4,98.9,43.3,11.2,2024
AJMER,305628,4,24.3,26.3,8.4,31.3,9.2,2024
AJMER,305628,5,24.3,39.8,38.5,74.7,10.5,2024
AJMER,305628,6,18.6,29.2,84.9,69.0,9.3,2024
AJMER,305628,7,19.5,32.9,166.8,26.2,9.3,2024
AJMER,305628,8,16.7,26.3,95.9,63.5,7.7,2024
AJMER,305628,9,14.4,29.5,117.3,81.2,7.2,2024
AJMER,305628,10,14.9,40.9,174.8,68.8,7.7,2024
AJMER,305628,11,20.1,41.1,61.8,55.8,8.6,2024
