,Crop_Name,Crop_Variety,Crop_Category,Part_Used,Industry_Demand,Sowing_Months,Ideal_Soil_Types,Germination_Weather_JSON,Vegetative_Weather_JSON,Flowering_Fruiting_Weather_JSON,Harvesting_Weather_JSON,Nutrient_Needs_NPK,Expected_Yield_per_Acre,Post_Harvest_Handling,Crop_Duration_days_min,Crop_Duration_days_max,Optimal_pH_Range_min,Optimal_pH_Range_max
21,Urad (Black Gram),Pant U-35,Pulse,Grain,"Dal, Processing",July-August,"Loamy, Sandy loam","25-30°C, 65-75% humidity","28-32°C, 60-70% humidity","26-30°C, 50% humidity","30-35°C, 40% humidity",20:40:0 kg/ha,6-8 quintals/acre,"Drying, Storage, Milling",80.0,90.0,6.0,7.5
22,Cumin,UC-198,Cash Crop,Seed,"Spice, Pharma, Export",November-December,Sandy loam,"18-22°C, 60-70% humidity","20-24°C, 50-60% humidity","22-26°C, 45-50% humidity","26-30°C, 30-40% humidity",50:25:0 kg/ha,4-5 quintals/acre,"Drying, Cleaning, Grading, Storage",100.0,110.0,7.0,8.0
23,Wheat,Raj 3765,Cereal,Grain,"Food, Flour",Nov-Dec,"Loam, sandy loam","18-25°C, 65-75%","20-25°C, 60-70%","21-23°C, 50-60%","20-22°C, 40-50%",48:24:24,18-20 qtl,"Threshing, drying",120.0,140.0,6.0,7.5
24,Wheat,PBW 343,Cereal,Grain,"Food, Flour",Nov-Dec,"Loam, clay loam","18-26°C, 65-75%","20-24°C, 60-70%","21-23°C, 50-60%","20-22°C, 40-50%",48:24:24,22-24 qtl,"Threshing, drying",140.0,150.0,6.0,7.5
25,Wheat,HD 2967,Cereal,Grain,"Food, Flour",Nov-Dec,Loam,"18-26°C, 65-75%","20-22°C, 60-70%","21-24°C, 50-60%","20-22°C, 40-50%",48:24:24,20-22 qtl,"Threshing, drying",135.0,145.0,6.0,7.5
26,Wheat,WH 1105,Cereal,Grain,"Food, Flour",Nov-Dec,"Loam, clay loam","18-25°C, 65-75%","20-23°C, 60-70%","21-23°C, 50-60%","20-22°C, 40-50%",48:24:24,20-21 qtl,"Threshing, drying",135.0,145.0,6.5,7.5
27,Pearl Millet,RHB-173,Cereal,"Grain, Fodder","Food, Fodder",June-July,Sandy loam,"28-32°C, 60-70%","32-38°C, 40-55%","28-32°C, 35-45%","26-30°C, 35-50%",32:16:16,8-10 qtl,"Drying, cleaning",80.0,85.0,6.0,8.5
28,Pearl Millet,RHB-177,Cereal,"Grain, Fodder","Food, Fodder",June-July,Sandy loam,"29-33°C, 60-70%","32-38°C, 40-55%","28-32°C, 35-45%","26-30°C, 35-50%",32:16:16,8-10 qtl,"Drying, cleaning",78.0,82.0,6.5,8.0
29,Pearl Millet,HHB 67 Improved,Cereal,"Grain, Fodder","Food, Fodder",June-July,Sandy,"28-32°C, 60-70%","30-35°C, 40-55%","25-30°C, 35-45%","26-30°C, 35-50%",32:16:16,7-9 qtl,"Drying, cleaning",75.0,80.0,6.0,8.0
30,Maize,Pratap Makka 3,Cereal,"Grain, Fodder","Food, Feed, Fodder",June-July,Sandy loam,"24-30°C, 65-75%","28-35°C, 60-70%","22-28°C, 55-65%","24-28°C, 40-55%",48:24:24,14-17 qtl,"Drying, shelling",95.0,110.0,6.0,7.0
31,Maize,HQPM 1,Cereal,"Grain, Fodder","Food, Feed, Fodder",June-July,Sandy loam,"25-30°C, 65-75%","26-34°C, 60-70%","24-28°C, 55-65%","22-26°C, 40-55%",48:24:24,13-16 qtl,"Drying, shelling",90.0,110.0,6.0,7.5
32,Maize,Pratap Makka 5,Cereal,"Grain, Fodder","Food, Feed, Fodder",June-July,Sandy loam,"25-31°C, 65-75%","27-33°C, 60-70%","23-28°C, 55-65%","24-28°C, 40-55%",48:24:24,14-18 qtl,"Drying, shelling",100.0,115.0,6.0,7.0
33,Barley,RD 2552,Cereal,Grain,"Food, Malt, Feed",Nov-Dec,Sandy loam,"18-24°C, 50-65%","18-28°C, 45-60%","16-20°C, 45-55%","16-20°C, 38-48%",32:16:16,12-13 qtl,"Threshing, cleaning",130.0,140.0,6.0,8.5
34,Barley,BH 393,Cereal,Grain,"Food, Malt, Feed",Nov-Dec,"Sandy loam, clay loam","18-24°C, 50-65%","18-28°C, 45-60%","16-20°C, 45-55%","16-20°C, 38-48%",32:16:16,12-14 qtl,"Threshing, cleaning",130.0,135.0,6.0,8.5
35,Sorghum,CSV 17,Cereal,"Grain, Fodder","Food, Fodder",June-July,"Sandy loam, loam","28-32°C, 60-70%","30-36°C, 60-70%","28-32°C, 55-65%","28-32°C, 50-60%",40:20:20,10-12 qtl,"Drying, threshing",110.0,120.0,6.5,8.0
36,Sorghum,CSH 16,Cereal,"Grain, Fodder","Food, Fodder",June-July,"Sandy loam, red loam","28-32°C, 60-70%","28-34°C, 60-70%","28-30°C, 55-65%","28-30°C, 50-60%",40:20:20,9-11 qtl,"Drying, threshing",105.0,115.0,6.5,8.2
37,Small Millet,GPU 67,Cereal,Grain,Food (Health Food),June-July,Sandy loam,"25-30°C, 65-80%","28-33°C, 60-75%","22-28°C, 60-70%","24-28°C, 45-55%",16:16:16,4-6 qtl,"Threshing, cleaning",110.0,115.0,5.5,7.5
38,Small Millet,SiA 326,Cereal,Grain,Food (Health Food),June-July,"Sandy loam, red loam","25-30°C, 65-75%","25-35°C, 50-60%","20-25°C, 50-55%","22-26°C, 40-50%",16:16:16,3-4 qtl,"Threshing, cleaning",70.0,80.0,6.0,7.5
39,Wheat,Raj 4037,Cereal,Grain,"Food, Flour",Nov-Dec,"Loam, sandy loam","18-25°C, 65-75%","20-25°C, 60-70%","21-23°C, 50-60%","20-22°C, 40-50%",48:24:24,18-20 qtl,"Threshing, drying",120.0,130.0,6.0,7.5
40,Wheat,Raj 4083,Cereal,Grain,"Food, Bakery, Export",November,Loamy to clay loam,"20-25°C, 65-75% humidity","18-22°C, 60-70% humidity","20-24°C, 50-60% humidity","25-30°C, 30-40% humidity",120:60:40 kg/ha,20-22 quintals/acre,"Drying, Storage, Processing",130.0,140.0,6.5,7.5
41,Moong,SML-668,Pulse,Grain,"Food, Dal, Export",July-August,Sandy loam,"28-32°C, 65-75% humidity","30-35°C, 55-65% humidity","30-34°C, 45-55% humidity","32-36°C, 30-40% humidity",20:40:0 kg/ha,7-8 quintals/acre,"Drying, Grading, Bagging",65.0,70.0,6.5,7.5
42,Mustard,Bio-902,Oilseed,Seed,"Edible oil, Processing",October-November,Sandy loam,"20-25°C, 60-70% humidity","22-28°C, 50-60% humidity","24-28°C, 45% humidity","28-32°C, 30-40% humidity",100:50:40 kg/ha,10-12 quintals/acre,"Oil Extraction, Storage",110.0,120.0,6.0,8.0
43,Groundnut,TG-37A,Oilseed,Seed,"Edible oil, Snack food",June-July,Sandy to sandy loam,"30-35°C, 60% humidity","32-36°C, 50-60% humidity","30-35°C, 40-50% humidity","34-38°C, 30-40% humidity",20:40:40 kg/ha,10-12 quintals/acre,"De-shelling, Grading, Storage",105.0,115.0,6.0,7.5
44,Onion,Agrifound Dark Red,Vegetable,Bulb,"Food, Processing",October-December,Sandy loam,"20-25°C, 70-80% humidity","22-28°C, 60-70% humidity","24-30°C, 50% humidity","30-35°C, 30-40% humidity",80:60:60 kg/ha,120-150 quintals/acre,"Curing, Grading, Cold Storage",120.0,140.0,6.0,7.5
45,Pomegranate,Bhagwa,Fruit,Fruit,"Fresh consumption, Export",July-August,"Loamy, well-drained","25-30°C, 65-75% humidity","30-35°C, 50-60% humidity","32-36°C, 45% humidity","35-38°C, 30-40% humidity",100:50:50 g/plant,8-10 tons/acre,"Washing, Sorting, Grading, Cold Storage",180.0,200.0,6.5,7.5
46,Cumin,GC-4,Cash Crop,Seed,"Spice, Pharma",November,Sandy loam,"18-22°C, 60% humidity","20-25°C, 50-60% humidity","22-26°C, 40-50% humidity","26-30°C, 30-40% humidity",50:25:0 kg/ha,5 quintals/acre,"Cleaning, Drying, Grading",100.0,110.0,6.8,7.8
47,Ber (Indian Jujube),Gola,Fruit,Fruit,"Fresh, Processing",June-July,Sandy loam,"30-35°C, 60-70% humidity","32-38°C, 50-60% humidity","30-35°C, 40-50% humidity","35-38°C, 30-40% humidity",60:40:40 g/plant,4-6 tons/acre,"Sorting, Packaging, Storage",140.0,160.0,6.0,7.5
48,Isabgol,RI-89,Medicinal,Seed,"Pharma, Export",October-November,Sandy loam,"20-25°C, 60% humidity","22-26°C, 50% humidity","24-28°C, 40-50% humidity","30-32°C, 30-40% humidity",25:20:0 kg/ha,3-4 quintals/acre,"Drying, Cleaning, Sieving",110.0,120.0,7.0,8.0
49,Tomato,Pusa Rohini,Vegetable,Fruit,"Fresh, Processing",July-August,Loamy to sandy loam,"25-30°C, 70% humidity","28-32°C, 60-70% humidity","30-34°C, 50% humidity","35-38°C, 30-40% humidity",100:50:50 kg/ha,120-160 quintals/acre,"Sorting, Grading, Crate Packing",110.0,120.0,6.0,7.0
50,Bajra,RHB-173,Cereal,Grain,"Food, Fodder, Biofuel",June-July,"Sandy loam, light soils","28-32°C, 60-70% humidity","30-36°C, 55-65% humidity","32-36°C, 45-55% humidity","35-38°C, 30-40% humidity",80:40:40 kg/ha,10-12 quintals/acre,"Drying, Threshing, Bagging",85.0,95.0,6.0,7.5
51,Cotton,RCH-134 Bt,Cash Crop,Fibre,"Textile, Export",June-July,Black cotton soil,"30-35°C, 60-70% humidity","34-38°C, 50-60% humidity","32-36°C, 40-50% humidity","35-40°C, 30-40% humidity",120:60:40 kg/ha,10-12 quintals/acre,"Ginning, Baling, Storage",160.0,180.0,6.0,8.0
52,Mustard,NRCHB-101,Oilseed,Seed,"Edible Oil, Industry",October-November,"Sandy loam, loamy","22-26°C, 60% humidity","26-30°C, 50-60% humidity","28-32°C, 45% humidity","30-34°C, 30-40% humidity",100:50:30 kg/ha,11-13 quintals/acre,"Oil Extraction, Storage",120.0,130.0,6.0,8.0
53,Cumin,RZ-19,Cash Crop,Seed,"Spices, Pharma, Export",November,"Sandy, well-drained","20-22°C, 60% humidity","22-26°C, 50-60% humidity","24-28°C, 45-55% humidity","28-30°C, 30-40% humidity",40:20:0 kg/ha,5-6 quintals/acre,"Drying, Sieving, Storage",100.0,110.0,6.5,7.5
54,Moong,IPM 02-3 (Virat),Pulse,Grain,"Food, Export",June-July,Sandy loam,"28-30°C, 60-70% humidity","30-34°C, 50-60% humidity","32-36°C, 45% humidity","34-38°C, 30-40% humidity",20:40:0 kg/ha,7-8 quintals/acre,"Drying, Grading, Bagging",65.0,70.0,6.0,7.5
55,Tomato,Arka Rakshak,Vegetable,Fruit,"Fresh, Processing",July-August,"Sandy loam, loamy","26-30°C, 70-75% humidity","28-34°C, 60-70% humidity","30-36°C, 50-60% humidity","35-38°C, 30-40% humidity",120:60:60 kg/ha,140-160 quintals/acre,"Sorting, Grading, Cold Storage",115.0,125.0,6.0,7.0
56,Guar,HG-365,Cash Crop,Seed,"Gelling agent, Export",June-July,Sandy soils,"30-35°C, 60% humidity","32-38°C, 55% humidity","34-38°C, 45% humidity","36-40°C, 30-40% humidity",20:40:0 kg/ha,6-7 quintals/acre,"Dehusking, Cleaning, Bagging",90.0,100.0,6.5,7.5
57,Onion,NHRDF Red,Vegetable,Bulb,"Food, Processing",November-December,Sandy loam,"20-25°C, 70% humidity","24-28°C, 60-70% humidity","26-30°C, 50% humidity","30-35°C, 30-40% humidity",90:60:60 kg/ha,140-160 quintals/acre,"Curing, Grading, Storage",130.0,140.0,6.0,7.0
58,Ashwagandha,Jawahar-20,Medicinal,Root,"Pharma, Ayurveda",June-July,Sandy loam,"28-32°C, 60% humidity","30-34°C, 50% humidity","32-36°C, 45% humidity","35-38°C, 30-40% humidity",60:40:40 kg/ha,4-5 quintals/acre,"Drying, Grading, Packaging",150.0,180.0,7.0,8.0
59,Pomegranate,Ganesh,Fruit,Fruit,"Fresh, Juice",July-August,"Loamy, well-drained","26-30°C, 65-75% humidity","30-35°C, 55-60% humidity","32-36°C, 45% humidity","34-38°C, 30-40% humidity",100:50:50 g/plant,7-9 tons/acre,"Cleaning, Sorting, Cold Chain",180.0,210.0,6.5,7.5
60,Wheat,HD-2967,Cereal,Grain,"Food, Processing",November,"Loamy, alluvial","20-25°C, 70% humidity","22-30°C, 60% humidity","24-32°C, 50% humidity","26-34°C, 30-40% humidity",120:60:40 kg/ha,20-22 quintals/acre,"Threshing, Cleaning, Storage",140.0,150.0,6.0,7.5
61,Bajra,HHB-67 Improved,Cereal,Grain,"Food, Fodder",June-July,"Sandy, sandy loam","28-32°C, 60-70% humidity","30-35°C, 50-60% humidity","32-36°C, 45-55% humidity","34-38°C, 30-40% humidity",80:40:40 kg/ha,11-13 quintals/acre,"Drying, Cleaning, Packaging",85.0,95.0,6.0,7.5
62,Barley,RD-2552,Cereal,Grain,"Malt, Fodder, Brewery",October-November,"Loamy, saline-alkaline","18-22°C, 65% humidity","20-26°C, 60% humidity","22-30°C, 50% humidity","24-32°C, 30-40% humidity",90:40:20 kg/ha,20-22 quintals/acre,"Cleaning, Grading, Bagging",120.0,130.0,6.5,8.0
63,Mustard,RH-749,Oilseed,Seed,"Oil, Processing",October-November,"Sandy loam, loamy","22-26°C, 60% humidity","26-30°C, 50-60% humidity","28-32°C, 45% humidity","30-34°C, 30-40% humidity",100:50:30 kg/ha,12-13 quintals/acre,"Oil Extraction, Storage",120.0,130.0,6.0,8.0
64,Cumin,GC-4,Cash Crop,Seed,"Spices, Export, Pharma",November,"Sandy, well-drained","20-22°C, 60% humidity","22-26°C, 50-60% humidity","24-28°C, 45-55% humidity","28-30°C, 30-40% humidity",40:20:0 kg/ha,5-6 quintals/acre,"Drying, Sieving, Packaging",100.0,110.0,6.5,7.5
65,Urad,T-9,Pulse,Grain,"Food, Processing",June-July,Sandy loam,"28-30°C, 60-70% humidity","30-34°C, 55-65% humidity","32-36°C, 45% humidity","34-38°C, 30-40% humidity",20:40:0 kg/ha,6-7 quintals/acre,"Drying, Dehusking, Bagging",70.0,80.0,6.0,7.5
66,Groundnut,GG-20,Oilseed,Seed,"Oil Extraction, Food",June-July,Sandy loam,"28-32°C, 70% humidity","30-36°C, 60% humidity","32-36°C, 50% humidity","34-38°C, 30-40% humidity",25:50:0 kg/ha,12-15 quintals/acre,"Shelling, Drying, Storage",105.0,120.0,6.0,7.0
67,Tomato,Pusa Rohini,Vegetable,Fruit,"Fresh Market, Processing",June-July,"Loamy, sandy loam","26-30°C, 70-75% humidity","28-34°C, 60-70% humidity","30-36°C, 50-60% humidity","35-38°C, 30-40% humidity",120:60:60 kg/ha,130-150 quintals/acre,"Sorting, Grading, Storage",110.0,120.0,6.0,7.0
68,Cotton,RCH-317 Bt,Cash Crop,Fibre,"Textile, Export",June-July,Black cotton soil,"30-35°C, 60-70% humidity","34-38°C, 55-60% humidity","32-36°C, 40-50% humidity","35-40°C, 30-40% humidity",120:60:40 kg/ha,9-11 quintals/acre,"Ginning, Pressing, Baling",160.0,180.0,6.0,8.0
69,Guava,L-49 (Lucknow-49),Fruit,Fruit,"Fresh, Processing",July-August,"Loamy, well-drained","26-30°C, 65-75% humidity","30-35°C, 55-65% humidity","32-36°C, 45-55% humidity","34-38°C, 30-40% humidity",100:50:50 g/plant,8-10 tons/acre,"Grading, Washing, Cold Chain",210.0,240.0,6.5,7.5
70,Cotton,RS 2013,Cash Crop,"Fibre, Seed","Textile, Oil, Export",May-June,"Sandy loam, black","28-34°C, 60-80% RH","30-36°C, 50-70% RH","28-32°C, 45-60% RH","28-32°C, 35-50% RH",60:30:30 (kg/ha),8-10 qtl/acre (kapas),"Ginning, baling, grading",170.0,180.0,6.0,7.5
71,Cotton,RCH 134 BG II,Cash Crop,"Fibre, Seed","Textile, Oil, Export",May-June,"Sandy loam, black","28-34°C, 60-80% RH","30-36°C, 50-70% RH","28-32°C, 45-60% RH","28-32°C, 35-50% RH",60:30:30 (kg/ha),12-14 qtl/acre (kapas),"Ginning, baling, grading",170.0,180.0,6.0,7.5
72,Mustard,RH 749,Oilseed,"Seed, Oil","Oil, Biofuel, Food",Oct-Nov,"Sandy loam, loam","22-30°C, 55-65% RH","20-26°C, 50-65% RH","20-24°C, 40-55% RH","20-24°C, 40-50% RH",45:20:15 (kg/ha),7-9 qtl/acre,"Drying, cleaning, grading",120.0,135.0,6.0,8.0
73,Mustard,Pusa Mustard 30,Oilseed,"Seed, Oil","Oil, Food",Oct-Nov,"Sandy loam, loam","22-30°C, 55-65% RH","20-26°C, 50-65% RH","20-24°C, 40-55% RH","20-24°C, 40-50% RH",45:20:15 (kg/ha),9-11 qtl/acre,"Drying, cleaning, grading",120.0,130.0,6.0,8.0
74,Cumin,RZ 223,Cash Crop,Seed,"Spice, Export",Nov-Dec,"Sandy loam, light loam","15-25°C, 55-70% RH","20-28°C, 45-60% RH","18-26°C, 40-55% RH","15-22°C, 35-50% RH",20:18:10 (kg/ha),2.5-3.2 qtl/acre,"Sun drying, cleaning",100.0,115.0,7.0,8.2
75,Cumin,GC 4,Cash Crop,Seed,"Spice, Export",Nov-Dec,"Sandy loam, light loam","15-25°C, 55-70% RH","20-28°C, 45-60% RH","18-26°C, 40-55% RH","15-22°C, 35-50% RH",20:18:10 (kg/ha),2.8-3.5 qtl/acre,"Sun drying, cleaning",105.0,120.0,7.0,8.2
76,Guar,RGC 936,Cash Crop,"Seed, Gum","Gum, Food, Feed",June-July,"Sandy loam, sand","30-34°C, 55-70% RH","34-40°C, 45-65% RH","28-34°C, 40-55% RH","26-32°C, 35-50% RH",16:32:17 (kg/ha),5-7 qtl/acre,"Drying, cleaning, grading",90.0,100.0,7.2,8.8
77,Guar,HG 563,Cash Crop,"Seed, Gum","Gum, Food, Feed",June-July,"Sandy loam, sand","30-34°C, 55-70% RH","34-40°C, 45-65% RH","28-34°C, 40-55% RH","26-32°C, 35-50% RH",16:32:17 (kg/ha),5-6 qtl/acre,"Drying, cleaning, grading",85.0,95.0,7.2,8.8
78,Moong,SML 668,Pulse,Seed,"Food, Sprout, Dal","June-July, Mar-Apr","Sandy loam, loam","30-36°C, 65-75% RH","32-38°C, 50-65% RH","28-34°C, 45-55% RH","26-32°C, 40-55% RH",20:40:20 (kg/ha),4.5-5.5 qtl/acre,"Drying, shelling, packing",60.0,65.0,6.0,7.5
79,Moong,RMG 492,Pulse,Seed,"Food, Dal","June-July, Mar-Apr","Sandy loam, loam","30-36°C, 65-75% RH","32-38°C, 50-65% RH","28-34°C, 45-55% RH","26-32°C, 40-55% RH",20:40:20 (kg/ha),4-5 qtl/acre,"Drying, shelling, packing",60.0,65.0,6.0,7.5
80,Urad,Pratap Urd-1,Pulse,Seed,"Food, Dal","June-July, Sep","Sandy loam, loam","28-34°C, 65-75% RH","30-36°C, 55-70% RH","28-32°C, 45-60% RH","26-32°C, 40-55% RH",20:40:20 (kg/ha),4-4.5 qtl/acre,"Drying, shelling, packing",70.0,80.0,6.0,7.5
81,Urad,Pant U 31,Pulse,Seed,"Food, Dal","June-July, Sep","Sandy loam, loam","28-34°C, 65-75% RH","30-36°C, 55-70% RH","28-32°C, 45-60% RH","26-32°C, 40-55% RH",20:40:20 (kg/ha),4-4.5 qtl/acre,"Drying, shelling, packing",70.0,75.0,6.0,7.5
82,Isabgol,GI-2,Medicinal,Husk (Seed),"Pharma, Food, Export",Oct-Nov,Sandy loam,"20-30°C, 60-70% RH","20-25°C, 50-60% RH","20-26°C, 40-55% RH","18-24°C, 40-56% RH",30:25:0 (kg/ha),4-5 qtl/acre,"Drying, cleaning, grading",110.0,120.0,6.5,7.8
83,Isabgol,HI 5,Medicinal,Husk (Seed),"Pharma, Food, Export",Oct-Nov,Sandy loam,"20-30°C, 60-70% RH","20-25°C, 50-60% RH","20-26°C, 40-55% RH","18-24°C, 40-56% RH",30:25:0 (kg/ha),4-5 qtl/acre,"Drying, cleaning, grading",110.0,120.0,6.5,7.8
84,Ashwagandha,JA-20,Medicinal,Root,"Pharma, Ayurveda",June-July,"Sandy loam, red soil","25-34°C, 50-70% RH","28-38°C, 45-65% RH","22-26°C, 40-60% RH","21-27°C, 40-56% RH",25:25:0 (kg/ha),8-11 qtl/acre,"Washing, drying, root grading",150.0,180.0,7.0,8.0
